100,Steven,King,SKING,515.123.4567,2003-06-17 00:00:00,AD_PRES,24000.00,,,90
108,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17 00:00:00,FI_MGR,12008.00,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16 00:00:00,FI_ACCOUNT,9000.00,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,2002-12-07 00:00:00,PU_MAN,11000.00,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,2003-05-18 00:00:00,PU_CLERK,3100.00,,114,30
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01 00:00:00,ST_MAN,7900.00,,100,50
137,Renske,Ladwig,RLADWIG,650.121.1234,2003-07-14 00:00:00,ST_CLERK,3600.00,,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,2003-10-17 00:00:00,ST_CLERK,3500.00,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,2003-09-17 00:00:00,AD_ASST,4400.00,,101,10
203,Susan,Mavris,SMAVRIS,515.123.7777,2002-06-07 00:00:00,HR_REP,6500.00,,101,40
204,Hermann,Baer,HBAER,515.123.8888,2002-06-07 00:00:00,PR_REP,10000.00,,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,2002-06-07 00:00:00,AC_MGR,12008.00,,101,110
206,William,Gietz,WGIETZ,515.123.8181,2002-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
