107,Diana,Lorentz,DLORENTZ,590.423.5567,2007-02-07 00:00:00,IT_PROG,4200.00,,103,60
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01 00:00:00,ST_MAN,7900.00,,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2005-10-10 00:00:00,ST_MAN,6500.00,,100,50
129,Laura,Bissot,LBISSOT,650.124.5234,2005-08-20 00:00:00,ST_CLERK,3300.00,,121,50
143,Randall,Matos,RMATOS,650.121.2874,2006-03-15 00:00:00,ST_CLERK,2600.00,,124,50
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,2006-11-03 00:00:00,SA_REP,7000.00,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,2005-11-11 00:00:00,SA_REP,10500.00,0.25,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,2008-01-24 00:00:00,SA_REP,7200.00,0.10,147,80
182,Martha,Sullivan,MSULLIVA,650.507.9878,2007-06-21 00:00:00,SH_CLERK,2500.00,,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,2004-01-27 00:00:00,SH_CLERK,4200.00,,121,50
191,Randall,Perkins,RPERKINS,650.505.4876,2007-12-19 00:00:00,SH_CLERK,2500.00,,122,50
192,Sarah,Bell,SBELL,650.501.1876,2004-02-04 00:00:00,SH_CLERK,4000.00,,123,50
196,Alana,Walsh,AWALSH,650.507.9811,2006-04-24 00:00:00,SH_CLERK,3100.00,,124,50
