100	Steven	King	SKING	515.123.4567	2003-06-17 00:00:00	AD_PRES	24000.00			90
101	Neena	Kochhar	NKOCHHAR	515.123.4568	2005-09-21 00:00:00	AD_VP	17000.00		100	90
102	Lex	De Haan	LDEHAAN	515.123.4569	2001-01-13 00:00:00	AD_VP	17000.00		100	90
108	Nancy	Greenberg	NGREENBE	515.124.4569	2002-08-17 00:00:00	FI_MGR	12008.00		101	100
114	Den	Raphaely	DRAPHEAL	515.127.4561	2002-12-07 00:00:00	PU_MAN	11000.00		100	30
145	John	Russell	JRUSSEL	011.44.1344.429268	2004-10-01 00:00:00	SA_MAN	14000.00	0.40	100	80
146	Karen	Partners	KPARTNER	011.44.1344.467268	2005-01-05 00:00:00	SA_MAN	13500.00	0.30	100	80
147	Alberto	Errazuriz	AERRAZUR	011.44.1344.429278	2005-03-10 00:00:00	SA_MAN	12000.00	0.30	100	80
148	Gerald	Cambrault	GCAMBRAU	011.44.1344.619268	2007-10-15 00:00:00	SA_MAN	11000.00	0.30	100	80
149	Eleni	Zlotkey	EZLOTKEY	011.44.1344.429018	2008-01-29 00:00:00	SA_MAN	10500.00	0.20	100	80
162	Clara	Vishney	CVISHNEY	011.44.1346.129268	2005-11-11 00:00:00	SA_REP	10500.00	0.25	147	80
168	Lisa	Ozer	LOZER	011.44.1343.929268	2005-03-11 00:00:00	SA_REP	11500.00	0.25	148	80
174	Ellen	Abel	EABEL	011.44.1644.429267	2004-05-11 00:00:00	SA_REP	11000.00	0.30	149	80
201	Michael	Hartstein	MHARTSTE	515.123.5555	2004-02-17 00:00:00	MK_MAN	13000.00		100	20
205	Shelley	Higgins	SHIGGINS	515.123.8080	2002-06-07 00:00:00	AC_MGR	12008.00		101	110
